108,0.458955,32964,391,268
109,0.466165,32984,390,266
110,0.465909,32472,387,264
111,0.490347,32893,386,259
112,0.488372,32508,384,258
113,0.5,31752,378,252
114,0.510121,31122,373,247
115,0.520661,30492,368,242
116,0.531381,30353,366,239
117,0.552174,29210,357,230
118,0.575893,28896,353,224
119,0.573991,28544,351,223
120,0.600939,27264,341,213
121,0.596244,27051,340,213
122,0.638614,26058,331,202
123,0.648241,25671,328,199
124,0.673367,26666,333,199
125,0.736559,25482,323,186
126,0.741758,24570,317,182
127,0.745856,24435,316,181
128,0.741573,23496,310,178
129,0.740113,23187,308,177
130,0.738636,22880,306,176
131,0.75,23232,308,176
132,0.678571,19152,282,168
133,0.696429,19656,285,168
134,0.706587,19706,285,167
135,0.716867,19754,285,166
136,0.719512,19352,282,164
137,0.72561,19516,283,164
138,0.757962,18683,276,157
139,0.862319,16422,257,138
140,0.784314,18360,273,153
141,0.798658,17731,268,149
142,0.812081,18029,270,149
143,0.870968,13392,232,124
144,1.08,10800,208,100
145,1.10101,10791,208,99
146,0.978723,8648,186,94
147,0.89,8900,189,100
148,0.901099,7462,173,91
149,0.846154,7007,168,91
150,0.666667,5400,150,90
151,0.581395,4300,136,86
