25,0.236364,6435,204,165
26,0.23913,8096,228,184
27,0.245714,7525,218,175
28,0.294479,7824,211,163
29,0.284916,9129,230,179
30,0.272727,9537,238,187
31,0.213483,6764,216,178
32,0.291005,10395,244,189
33,0.244681,8648,234,188
34,0.336842,12160,254,190
35,0.305,12200,261,200
36,0.343284,13869,270,201
37,0.412935,16683,284,201
38,0.373134,15075,276,201
39,0.38785,17762,297,214
40,0.383495,16274,285,206
41,0.387255,16116,283,204
42,0.387255,16116,283,204
43,0.384615,16640,288,208
44,0.399038,17264,291,208
45,0.364929,16247,288,211
46,0.341014,16058,291,217
47,0.336493,14981,282,211
48,0.350711,15614,285,211
49,0.400943,18020,297,212
50,0.351598,16863,296,219
51,0.383886,17091,292,211
52,0.408257,19402,307,218
53,0.395455,19140,307,220
54,0.393519,18360,301,216
55,0.404651,18705,302,215
56,0.388128,18615,304,219
57,0.399061,18105,298,213
58,0.423256,19565,306,215
59,0.406393,19491,308,219
60,0.419811,18868,301,212
61,0.436019,19412,303,211
62,0.423256,19565,306,215
63,0.415888,19046,303,214
64,0.442922,21243,316,219
65,0.416667,19440,306,216
66,0.409091,19800,310,220
67,0.463303,22018,319,218
68,0.411017,22892,333,236
69,0.438914,21437,318,221
70,0.439462,21854,321,223
71,0.435556,22050,323,225
72,0.419214,21984,325,229
73,0.40678,22656,332,236
74,0.414847,21755,324,229
75,0.423581,22213,326,229
76,0.401674,22944,335,239
77,0.427948,22442,327,229
78,0.413502,23226,335,237
79,0.415966,23562,337,238
80,0.438596,22800,328,228
81,0.451754,23484,331,228
82,0.426778,24378,341,239
83,0.469828,25288,341,232
84,0.457627,25488,344,236
85,0.429752,25168,346,242
86,0.467811,25397,342,233
87,0.462185,26180,348,238
88,0.436214,25758,349,243
89,0.45679,26973,354,243
90,0.478632,26208,346,234
91,0.463115,27572,357,244
92,0.471311,28060,359,244
93,0.465306,27930,359,245
94,0.469388,28175,360,245
95,0.446215,28112,363,251
96,0.453815,28137,362,249
97,0.441767,27390,359,249
98,0.445344,27170,357,247
99,0.44898,26950,355,245
100,0.45082,26840,354,244

